Family,Genus,Species (I.e. Genus + specific epithet),Pollination Mode,Resource,Notes
Primulaceae,,,animal,FFP
Proteaceae,,,animal,FFP,
Rafflesiaceae,,,animal,PPE,
Ranunculaceae,,,animal,FFP,
Rapateaceae,,,animal,FFP,
Restionaceae,,,wind,FFP,
Retziaceae,,,animal,FFP,
Rhamnaceae,,,animal,FFP,
Rhinanthoideae,,,animal,PPE,insect
Rhodoleiceae,,,animal,FFP,
Rhoiptleaceae,,,wind,FFP,
Roridulaceae,,,animal,FFP,
Rosaceae,,,animal,FFP,
Rubiaceae,,,animal,FFP,
Ruppiaceae,,,wind,FFP,
Rutaceae,,,animal,FFP,
Salicaceae,,,animal/wind,FFP,
Sambucaceae,,,animal,FFP
Sapotaceae,,,animal,PPE
Sargentodoxaceae,,,animal,FFP
Sarraceniaceae,,,animal,PPE
Saxifragaceae,,,animal,FFP
Scheuchzeriaceae,,,wind,FFP
Scrophulariaceae,,,animal,PPE
Silenoideae,,,animal,PPE
Smilacaceae,,,animal,FFP
Solanaceae,,,animal,FFP
Sparganiaceae,,,wind,FFP
Stemonaceae,,,animal,FFP
Sterculiaceae,,,animal,PPE
Stilbaceae,,,animal,FFP
Strelitziaceae,,,animal,FFP
Strychnaceae,,,animal,FFP
Stylidiaceae,,,animal,FFP
Stylobasiaceae,,,wind,FFP
Symplocaceae,,,animal,FFP
Taccaceae,,,animal,PPE
Tetracentraceae,,,wind,FFP
Theligonaceae,,,wind,FFP
Thurniaceae,,,wind,FFP
Ticodendraceae,,,wind,FFP
Trichopodaceae,,,animal,FFP
Trigoniaceae,,,animal,FFP
Trilliaceae,,,animal,FFP
Triuridaceae,,,animal,FFP
Trochodendraceae,,,animal,FFP
Tropaeolaceae,,,animal,FFP
Turneraceae,,,animal/self,FFP
Typhaceae,,,wind,FFP
Ulmaceae,,,animal,FFP,
Umbelliferae,,,wind,Polleninfo.org,
Urticaceae,,,wind,FFP,
Valerianaceae,,,animal,FFP,
