"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","lomatslope","lomatslopelog","lomatslopelogse","lomatslopelogconfint11","lomatslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp","lomatslopelog_exp"
1,"1950-1960",7.14349164360921,3.22775410367016,0.0813853385084534,1.7965951418364,104.1,338.544444444444,0.0311883674243801,18.3995772898305,2374.8,90.6132797956859,-5.95203584738998,2.94658107253718,-11.2480307969186,-0.656040897861381,-0.371453022812222,0.175086104822936,-0.686141505514136,-0.0567645401103082,6.35282049871663,0.415199767206016,0.10652334328453,0.223741574081871,0.60665796033016,7.67445144136587,5.7290850034575,2.39355071044202,0.68973140670988,1.51467329252275
1,"2000-2010",8.1647867027487,1.21553006331216,0.017958477912213,1.10251079963516,99.4,63.3777777777778,0.00684421320709191,7.96101612721503,2233.2,93.6170263598583,-2.01308350100856,2.45172204667056,-6.41965072491153,2.39348372289441,-0.186553378095391,0.208059801959007,-0.560506659287831,0.187399903097049,3.01606544907261,0.22254978957552,0.156269018181504,-0.058318074122669,0.503417653273709,8.02554820771178,1.65884895578931,1.287963103427,0.829814266864069,1.24925801812866
2,"1950-1960",5.57747528516978,3.53696008972813,0.168221494003843,1.88068075167694,104.3,129.788888888889,0.0117718492268367,11.3924926547656,2152.8,45.0243935458666,-5.14416449430391,1.13096257587001,-7.17688375179783,-3.11144523680999,-0.211045761484131,0.0563892245378626,-0.312396120089133,-0.109695402879129,-2.01613870011217,-0.106476147453078,0.230871620467722,-0.521429921297056,0.3084776263909,5.80470954767398,0.957538498066471,0.978538960934347,0.809737011266031,0.898996491261485
2,"2000-2010",6.40430313554119,1.07481132770243,0.0256445570785725,1.03673107781258,102,15.1111111111111,0.00144151822336344,3.8873012632302,2145.6,51.4945728724359,-2.79289914805936,0.884521723300429,-4.38268149717146,-1.20311679894726,-0.178640673510385,0.0551123610165455,-0.277696079900035,-0.0795852671207353,1.11560221841873,0.0586649913902172,0.0673033458686561,-0.0623017056163119,0.179631688396746,6.23599986061454,1.25971466099473,1.12237010874075,0.836406388378404,1.06041993142063
3,"1950-1960",5.9358359328975,3.61340240767015,0.147480748776944,1.90089515956829,112.4,81.3777777777778,0.00633328168028273,9.0209632400192,2242.8,67.2728496291277,-2.39332825929923,1.44883895471825,-4.99737803698317,0.210721518384715,-0.11791540527033,0.0602485113018013,-0.226202197222134,-0.00962861331852623,1.82165924181522,0.117467903882136,0.117316013989996,-0.0933883401155432,0.328324147879815,6.94264500611011,2.39022897281083,1.54603653669984,0.888771234796911,1.12464553260887
3,"2000-2010",6.68405722764886,1.23160133532504,0.0294269845610256,1.1097753535401,104.7,85.7888888888889,0.00799652315399229,9.262229153335,2230.8,66.2799005033822,1.70232781192291,2.88873801628035,-3.48970375555025,6.89435937939607,0.108121736435933,0.180295194772554,-0.215929228880811,0.432172701752677,3.14237411535804,0.21810742325933,0.0647004862886413,0.101818938340215,0.334395908178444,6.75974178439187,5.3601242672632,2.31519421804375,1.11418337384375,1.24372066497073
4,"1950-1960",6.52656542789038,3.29356274274507,0.105823673076582,1.8148175508147,108.9,100.322222222222,0.00858444367596313,10.0160981535837,2370,62.5604352369795,-4.75939408536714,0.987943530415121,-6.53506012634688,-2.98372804438741,-0.235688527899007,0.0565366871422996,-0.337303926287106,-0.134073129510908,-0.193858679477772,0.00594865259136046,0.208937355155583,-0.369581886169292,0.381479191352013,6.92569339358578,1.17447818804478,1.08373344879854,0.790026706892849,1.00596638096106
4,"2000-2010",7.41581950637466,1.1381874539714,0.0216943651359293,1.06685868509911,103.9,42.3222222222222,0.00383665615871186,6.50555318341355,2264.4,73.9417477189037,-3.30124145798075,1.81265281339659,-6.55918682200603,-0.0432960939554756,-0.234681908171132,0.1233768394949,-0.456431489387022,-0.0129323269552421,0.703585707825206,0.0289800083234335,0.150405899886219,-0.241349864355359,0.299309881002226,7.31135467528816,0.980267913167855,0.990084800998306,0.790822363756317,1.0294040147573
5,"1950-1960",6.14795887897585,3.54164573204309,0.129386611409203,1.8819260697602,106.2,107.511111111111,0.0096377495261735,10.3687564881769,2367.6,58.1704060342022,-4.11980619496371,1.29341866683369,-6.44451356209514,-1.79509882783227,-0.184434262150174,0.0711266475851337,-0.312272715297984,-0.0565958090023644,-2.36808360323177,-0.143171444263599,0.180475468612707,-0.467546422164243,0.181203533637046,6.5703546918508,1.36924228935085,1.17014626835745,0.831574604029072,0.866605481620008
5,"2000-2010",6.94174574647923,1.49268858036469,0.0348273714860041,1.22175635065454,102.9,27.4333333333333,0.00249626075032659,5.23768396653839,2314.8,57.6280143386312,-2.85234080925672,1.13151572041754,-4.88605425311713,-0.818627365396307,-0.176629829002962,0.0711311807733876,-0.304476429811233,-0.0487832281946921,-1.49165499400944,-0.0978109623996233,0.0805401428513167,-0.242568625356987,0.0469467005577406,6.59129017525383,1.59607180401134,1.26335735404174,0.838089963707256,0.906820310687738
