"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
3036,132.341677913873,37.9362490815559,6.03419341351236,1,1951,49.2667,8.75,"49.2667 8.75","1950-1970",108,6.232131008242,6.03968736500246,4.96434771512514
2472,123.201948199197,194.761401255036,10.0719352587457,1,1952,49.2667,8.75,"49.2667 8.75","1950-1970",113,8.45614735197398,9.6190622849972,6.74599984921515
2100,106.424837578008,115.489780062846,8.85499980207533,1,1953,49.2667,8.75,"49.2667 8.75","1950-1970",100,8.63958997082454,6.39984360695234,7.71956504484558
2568,123.685826897682,57.1093750119244,7.23080628999178,1,1954,49.2667,8.75,"49.2667 8.75","1950-1970",119,6.81262279854568,8.26046856536414,4.19869555832575
1752,101.983392461362,147.151386849134,9.69193526723933,1,1955,49.2667,8.75,"49.2667 8.75","1950-1970",127,5.32229496300465,9.77265603156411,5.5075554324521
1980,101.718198696476,151.585745027045,9.90870945594243,1,1956,49.2667,8.75,"49.2667 8.75","1950-1970",132,6.13442609239309,8.9559372998192,7.93217373574558
2688,127.63440560612,90.9949546329812,8.2020965908624,1,1957,49.2667,8.75,"49.2667 8.75","1950-1970",106,8.70155718255422,4.14671865731361,9.03010849381352
2100,106.313550269477,141.793274724993,9.35564495217536,1,1958,49.2667,8.75,"49.2667 8.75","1950-1970",129,3.73008188383929,5.8829686185054,8.09033315250029
2388,120.266229534345,128.713575966967,9.5616126895071,1,1959,49.2667,8.75,"49.2667 8.75","1950-1970",104,9.36262274154874,6.79968734801514,9.31532587874276
2664,125.686698253209,143.764086183251,10.1101610643429,1,1960,49.2667,8.75,"49.2667 8.75","1950-1970",117,8.04344244316587,7.22624983848073,5.59913030963229
2028,113.686364717341,187.740025226118,11.1287094286733,1,1961,49.2667,8.75,"49.2667 8.75","1950-1970",112,9.70418011096352,4.54359364844277,4.4038887904543
1824,102.99077300887,101.969621897682,8.03048369147244,1,1962,49.2667,8.75,"49.2667 8.75","1950-1970",113,5.6072949566344,9.30453104202752,5.93010856310392
1536,92.7845885246508,183.679439099966,11.3148384567711,1,1963,49.2667,8.75,"49.2667 8.75","1950-1970",127,7.31532770534214,11.209999749437,6.99326071325366
2184,111.366827476891,128.376764243894,8.95193528377962,1,1964,49.2667,8.75,"49.2667 8.75","1950-1970",117,6.51032772333529,6.88296859615366,5.54177765390939
2340,115.310495123198,80.1124985545131,8.28419336322094,1,1965,49.2667,8.75,"49.2667 8.75","1950-1970",122,6.16360641960971,6.71609359988361,5.2385868394302
2208,113.810179180471,151.533495305913,10.3329029948481,1,1966,49.2667,8.75,"49.2667 8.75","1950-1970",119,7.49565557016396,6.87437484634575,4.90173902087238
