"cc","meanmat30","varmat30","varlogmat30","sdmat30","meanmat45","varmat45","varlogmat45","sdmat45","meanmat60","varmat60","varlogmat60","sdmat60","meanmatlo","varmatlo","sdmatlo","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","mat30slope","mat30slopese","mat30slopeconfint11","mat30slopeconfint89","mat30slopelog","mat30slopelogse","mat30slopelogconfint11","mat30slopelogconfint89","mat45slope","mat45slopese","mat45slopeconfint11","mat45slopeconfint89","mat45slopelog","mat45slopelogse","mat45slopelogconfint11","mat45slopelogconfint89","mat60slope","mat60slopese","mat60slopeconfint11","mat60slopeconfint89","mat60slopelog","mat60slopelogse","mat60slopelogconfint11","mat60slopelogconfint89","lomatslope","lomatslopelog","lomatslopelogse"
"1950-1970",6.18420884614716,3.67066719510028,0.11082602019307,1.9135574038655,4.89350071791642,2.70229721890927,0.120968190721669,1.64261498945722,5.69701216774382,2.6270992317211,0.101389093188093,1.61968523978077,9.15919764830356,1.47208648550427,1.1927620530583,126.8625,78.0259210526316,0.00508706276385223,8.72336796526587,2128.53,127.786681230199,1.29182409003864,1.02291204026184,-0.427859409494338,3.01150758957162,0.0679373534595627,0.0483241170269055,-0.0133034408705132,0.149178147789639,-0.676816750975945,1.22972812546807,-2.74419212934939,1.3905586273975,-0.0180806941417245,0.0489900273133844,-0.100440993264738,0.0642796049812894,-3.66100268392397,0.892598519961879,-5.16160770768837,-2.16039766015957,-0.144361270027211,0.0398322599222659,-0.21132585489992,-0.0773966851545021,1.17067052707163,0.08996316654841,0.121415571710451
"1970-1990",6.30343032785735,2.26948088654486,0.103760866134973,1.50396469493492,5.36921846694513,2.8709175706611,0.153272158547091,1.69257107806361,5.80761892756665,1.22488018436384,0.0377080365770993,1.10319430465964,8.58713090978651,1.27839245906945,1.1093588542366,127.385,57.5721052631579,0.00378001913630236,7.36918122091032,2351.31,109.08100019621,0.213860621012724,1.14481302796747,-1.71075850238924,2.13847974441469,0.00273114026688115,0.0451533962911175,-0.0731791506412525,0.0786414311750148,-1.19240515610703,0.971280685302653,-2.82528785001149,0.440477537797431,-0.0429865106005143,0.0372001658529681,-0.105526112129561,0.0195530909285325,-3.10731109246264,1.35501452244015,-5.38531352488236,-0.829308660042916,-0.14793492117908,0.0648787755622418,-0.257006821218239,-0.0388630211399215,0.710297627766131,0.0452105305950226,0.105495209791522
"1990-2010",5.6905404978065,2.1283795347561,0.0681095529995713,1.45823405516817,5.29008209794102,2.71692181391809,0.118715727089863,1.64515413561879,6.81743263450375,0.974394642522296,0.0232422067077892,0.983496118357623,8.62145077088664,1.59355496700588,1.1810333009853,120.565,70.6397368421053,0.00538234304877942,7.62001648388014,2355.3,112.261292321158,-1.03094270952442,1.18768743542218,-3.02764076850451,0.965755349455666,-0.0558187781237922,0.0581243720414068,-0.153535414145339,0.0418978578977543,-0.032746346042792,1.08297018168006,-1.85339746619651,1.78790477411092,-0.00594807608454928,0.0471318604516742,-0.0851844908795967,0.0732883387104982,-3.51122281631038,1.61467567263312,-6.22575837951845,-0.796687253102303,-0.189405555113605,0.0938008525498654,-0.347100226818553,-0.0317108834086559,1.05437769248545,0.071104423238223,0.100203812824003
