"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
3036,132.341677913873,37.9362490815559,6.03419341351236,1,1951,49.2667,8.75,"49.2667 8.75","1950-1960",108,6.232131008242,6.03968736500246,4.96434771512514
2472,123.201948199197,194.761401255036,10.0719352587457,1,1952,49.2667,8.75,"49.2667 8.75","1950-1960",113,8.45614735197398,9.6190622849972,6.74599984921515
2100,106.424837578008,115.489780062846,8.85499980207533,1,1953,49.2667,8.75,"49.2667 8.75","1950-1960",100,8.63958997082454,6.39984360695234,7.71956504484558
2568,123.685826897682,57.1093750119244,7.23080628999178,1,1954,49.2667,8.75,"49.2667 8.75","1950-1960",119,6.81262279854568,8.26046856536414,4.19869555832575
1752,101.983392461362,147.151386849134,9.69193526723933,1,1955,49.2667,8.75,"49.2667 8.75","1950-1960",127,5.32229496300465,9.77265603156411,5.5075554324521
1980,101.718198696476,151.585745027045,9.90870945594243,1,1956,49.2667,8.75,"49.2667 8.75","1950-1960",132,6.13442609239309,8.9559372998192,7.93217373574558
2688,127.63440560612,90.9949546329812,8.2020965908624,1,1957,49.2667,8.75,"49.2667 8.75","1950-1960",106,8.70155718255422,8.20312481664587,9.03010849381352
2100,106.313550269477,141.793274724993,9.35564495217536,1,1958,49.2667,8.75,"49.2667 8.75","1950-1960",129,3.73008188383929,8.05984356984845,8.09033315250029
2388,120.266229534345,128.713575966967,9.5616126895071,1,1959,49.2667,8.75,"49.2667 8.75","1950-1960",104,9.36262274154874,6.82265609750175,7.47065200693095
2664,125.686698253209,143.764086183251,10.1101610643429,1,1960,49.2667,8.75,"49.2667 8.75","1950-1960",117,8.04344244316587,5.8270311197557,7.62847809035979
2880,132.186429359376,28.5102209220308,5.410483750034,2,1951,50.0167,7.95,"50.0167 7.95","1950-1960",114,4.81491792516508,4.75749989366159,3.63782600564477
2304,117.535711992008,88.2066658202755,6.59596759450412,2,1952,50.0167,7.95,"50.0167 7.95","1950-1960",105,7.32418016416066,8.35062481334899,5.65399987362325
2244,110.725017857984,89.2943712825475,8.4248385213676,2,1953,50.0167,7.95,"50.0167 7.95","1950-1960",103,7.52721294650777,5.28906238178024,6.66282593803075
2556,122.786771580423,30.1655815547777,5.84951599828538,2,1954,50.0167,7.95,"50.0167 7.95","1950-1960",116,5.76663921536786,7.22656233847374,2.9473912384685
1740,101.419424553729,46.477012418326,6.24193534435284,2,1955,50.0167,7.95,"50.0167 7.95","1950-1960",118,4.14393433360536,8.60937480756547,4.47544434441047
