"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2868,131.982939951486,20.4097724045499,4.84338698851606,1,1951,50.5167,8.81667,"50.5167 8.81667","1950-1970",109,4.87262284190806,4.89265614064061,3.75804339426205
2208,116.844322572043,103.09855597926,7.09451597045747,1,1952,50.5167,8.81667,"50.5167 8.81667","1950-1970",106,7.32311459041399,8.52515605944791,5.59177765279181
2244,108.921099446211,55.7903069245163,6.48854824206642,1,1953,50.5167,8.81667,"50.5167 8.81667","1950-1970",92,7.74352441708267,5.33453113076393,6.9073911499556
2520,121.314549738885,41.9602939727019,6.69483856003611,1,1954,50.5167,8.81667,"50.5167 8.81667","1950-1970",119,6.10598347007801,7.53749983152375,3.12065210416103
1668,100.261684284006,76.2145418351884,7.39774177013145,1,1955,50.5167,8.81667,"50.5167 8.81667","1950-1970",120,4.26065564247184,8.72781230491819,4.53833323189368
2088,102.660108554128,49.6635490916754,6.26322566645761,1,1956,50.5167,8.81667,"50.5167 8.81667","1950-1970",115,5.1590982453409,7.70890607769252,6.96956506160938
2808,133.017964876968,81.5857013530484,8.54193529294383,1,1957,50.5167,8.81667,"50.5167 8.81667","1950-1970",96,7.85024572617268,3.07031243137317,8.03847808119557
2184,107.470385906141,36.8004096270634,4.77725795773609,1,1958,50.5167,8.81667,"50.5167 8.81667","1950-1970",112,2.66237698967156,4.2499999050051,6.84311095815566
2496,116.518933360595,70.9306129312714,7.52774176722573,1,1959,50.5167,8.81667,"50.5167 8.81667","1950-1970",96,8.64360636417739,5.8145311200351,7.89521721483249
2592,121.594775450421,45.2503162227472,6.07435470293727,1,1960,50.5167,8.81667,"50.5167 8.81667","1950-1970",97,6.8583605024414,6.09453111377661,4.28097816518224
2124,113.506425807031,48.6966925435357,6.88016113653899,1,1961,50.5167,8.81667,"50.5167 8.81667","1950-1970",94,8.56016374309166,3.73749991646037,2.72911105011072
1860,103.452181066398,73.1700034568404,6.66096759305125,1,1962,50.5167,8.81667,"50.5167 8.81667","1950-1970",113,4.32213105093382,7.93765607257956,4.6326085921053
1824,89.9689087203636,53.4295088199748,6.40903211481148,1,1963,50.5167,8.81667,"50.5167 8.81667","1950-1970",109,5.80893429638971,9.80921853074688,5.83989117381608
2100,109.460944376628,58.0326566841245,6.24870953774981,1,1964,50.5167,8.81667,"50.5167 8.81667","1950-1970",109,4.89360644799642,5.4581248780014,4.68977767295308
2184,113.629139536232,52.4661209746474,7.32677402978222,1,1965,50.5167,8.81667,"50.5167 8.81667","1950-1970",103,4.99204906874687,5.68562487291638,3.80304339325622
2208,117.804877211163,44.0300210655823,5.68338696974059,1,1966,50.5167,8.81667,"50.5167 8.81667","1950-1970",103,6.56524575489466,5.35203113037278,4.15380425498132
2520,118.692686360018,29.5893376870603,5.68370955037854,1,1967,50.5167,8.81667,"50.5167 8.81667","1950-1970",103,6.14704904293061,9.9134372784174,6.51066652114193
1836,99.7576650213732,52.8188706978481,6.3772579219733,1,1968,50.5167,8.81667,"50.5167 8.81667","1950-1970",106,6.87319656768356,5.51421862674761,4.275978165294
1596,95.8590457365687,44.8533170933684,4.75516118403644,1,1969,50.5167,8.81667,"50.5167 8.81667","1950-1970",110,4.72598350092341,6.30749985901639,4.06358686569349
1884,100.085252342037,51.1218415252796,5.48209665165914,1,1970,50.5167,8.81667,"50.5167 8.81667","1950-1970",115,3.9104097486611,5.04624988720752,3.76055547150059
3156,136.391414116709,50.6241186983691,6.62919340021307,2,1951,50,8.71667,"50 8.71667","1950-1970",109,6.58475395117993,6.5460936036834,5.39467379246312
2688,131.262168093153,94.1856361384632,7.11951596989867,2,1952,50,8.71667,"50 8.71667","1950-1970",103,8.83680308117058,9.71374978288077,7.08222206392222
2148,106.491068531901,90.7870029854325,7.67967724770067,2,1953,50,8.71667,"50 8.71667","1950-1970",93,8.83680308117058,7.01999984309077,7.88021721516776
2532,121.033231721928,56.0778277605369,7.38790306067395,2,1954,50,8.71667,"50 8.71667","1950-1970",113,7.48516376711978,8.62609355719178,4.79369554502647
1776,105.89389079874,77.3836222640213,7.80548369650158,2,1955,50,8.71667,"50 8.71667","1950-1970",118,5.9161474087474,9.69812478323001,5.9281109786075
2016,103.644008776676,84.8246052098522,7.76629014899053,2,1956,50,8.71667,"50 8.71667","1950-1970",115,6.53762280469241,9.13437479583081,8.12336938364593
2640,131.074776807021,113.678028168033,9.39064495139305,2,1957,50,8.71667,"50 8.71667","1950-1970",98,8.9713112748854,4.65781239588978,8.75630415210743
2256,110.650161664194,63.3316126422637,7.03193532669496,2,1958,50,8.71667,"50 8.71667","1950-1970",120,4.39836055742668,6.18531236174749,8.33033314713587
2376,116.96249297076,110.123960840527,9.07677399066667,2,1959,50,8.71667,"50 8.71667","1950-1970",103,9.28532766130921,7.29265608699643,9.40782587667522
2688,124.906617549389,93.5800994904607,8.31516110446424,2,1960,50,8.71667,"50 8.71667","1950-1970",99,8.42622931985582,7.62843732949113,5.65663030834707
2088,111.607190205199,95.1331561887312,8.59129013055034,2,1961,50,8.71667,"50 8.71667","1950-1970",95,9.82385223943618,5.35093738039723,4.63699989635497
1980,107.839189270955,117.811441506482,8.75096754633611,2,1962,50,8.71667,"50 8.71667","1950-1970",114,5.96827855512317,9.6335935346724,6.20565203520591
1476,91.1344934203358,63.3992334149633,7.09209661567283,2,1963,50,8.71667,"50 8.71667","1950-1970",106,7.3910654085673,11.5398434920644,7.53684765762528
2148,113.147694072443,78.8931277824602,7.47983854249,2,1964,50,8.71667,"50 8.71667","1950-1970",108,6.71295066962599,7.32781233621063,6.06911097545591
2448,119.616376550726,92.498612110892,8.83596754443621,2,1965,50,8.71667,"50 8.71667","1950-1970",105,6.50573755950346,7.15484359007678,5.60347813562207
2424,116.278160004527,65.1192044999147,6.85612887901164,2,1966,50,8.71667,"50 8.71667","1950-1970",102,7.9644260514894,7.30796858665417,5.36499988008291
